route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
A12,A,102,БАЛКАНКАР АД - Ж.К. ОВЧА КУПЕЛ-2 - БАЛКАНКАР АД,,3,,BE1E2D,FFFFFF,,,
A63,A,66,ХОТЕЛ МОРЕНИ - ЗООПАРКА - ХОТЕЛ МОРЕНИ,,3,,BE1E2D,FFFFFF,,,
A220,A,184,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 1 - ПЛ. ОРЛОВ МОСТ - ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 1,,3,,BE1E2D,FFFFFF,,,
A117,A,22ТМ,БУЛ. ХРИСТО БОТЕВ - Ж.К. ЗАПАДЕН ПАРК - БУЛ. ХРИСТО БОТЕВ,,3,,BE1E2D,FFFFFF,,,
A49,A,28,КМЕТСТВО СВЕТОВРАЧАНЕ - Село Локорско - КМЕТСТВО СВЕТОВРАЧАНЕ,,3,,BE1E2D,FFFFFF,,,
A45,A,23,ГАРА КУРИЛО - АВТОСТАНЦИЯ ОРЛАНДОВЦИ - ГАРА КУРИЛО,,3,,BE1E2D,FFFFFF,,,
A94,A,79А,БУЛ. ИЛИЯНЦИ-ПОДЛЕЗА - УЛ. ТОДОРИНИ КУКЛИ - БУЛ. ИЛИЯНЦИ-ПОДЛЕЗА,,3,,BE1E2D,FFFFFF,,,
A249,A,X50,Парк музей Врана - СУ СВ. КЛИМЕНТ ОХРИДСКИ - Парк музей Врана,,3,,006838,FFFFFF,,,
A81,A,76,УМБАЛ СВ. АННА - Ж.К. ГОЦЕ ДЕЛЧЕВ - УМБАЛ СВ. АННА,,3,,BE1E2D,FFFFFF,,,
A98,A,54,МЕТРОСТАНЦИЯ СЛИВНИЦА - ПЪТЕН ВЪЗЕЛ  КАЛОТИНА - МЕТРОСТАНЦИЯ СЛИВНИЦА,,3,,BE1E2D,FFFFFF,,,
A255,A,804,МЕТРОСТАНЦИЯ ГОРНА БАНЯ - ПЛ. СРЕД СЕЛО - МЕТРОСТАНЦИЯ ГОРНА БАНЯ,,3,,BE1E2D,FFFFFF,,,
A256,A,805,Метростанция Витоша - Студентски град - Метростанция Витоша,,3,,BE1E2D,FFFFFF,,,
A253,A,802,МЕТРОСТАНЦИЯ ГОРНА БАНЯ - МЕТРОСТАНЦИЯ ГОРНА БАНЯ - МЕТРОСТАНЦИЯ ГОРНА БАНЯ,,3,,BE1E2D,FFFFFF,,,
TB24,A,123,ЛИФТА СИМЕОНОВО - АВТОСТАНЦИЯ ГЕО МИЛЕВ - ЛИФТА СИМЕОНОВО,,11,,27AAE1,FFFFFF,,,
TB33,A,6,село Герман - АВТОСТАНЦИЯ ГЕО МИЛЕВ - село Герман,,11,,27AAE1,FFFFFF,,,
A55,A,85,ПЛ. СТОЧНА ГАРА - Ж.К. ВРЪБНИЦА-2 - ПЛ. СТОЧНА ГАРА,,3,,BE1E2D,FFFFFF,,,
A2,A,9,УЛ. ГЕН. ГУРКО - АВТОБАЗА ИСКЪР - УЛ. ГЕН. ГУРКО,,3,,BE1E2D,FFFFFF,,,
A58,A,280,СТУДЕНТСКИ ГРАД - СУ СВ.КЛИМЕНТ ОХРИДСКИ - СТУДЕНТСКИ ГРАД,,3,,BE1E2D,FFFFFF,,,
TM40,A,15,Ж.к. Бъкстон - Пл. Македония - Ж.к. Бъкстон,,0,,F7941D,FFFFFF,,,
A264,A,97,ХОТЕЛ АМБАСАДОР - МЕТРОСТАНЦИЯ ФР. ЖОЛИО-КЮРИ - ХОТЕЛ АМБАСАДОР,,3,,BE1E2D,FFFFFF,,,
A65,A,103,ВЗ. ЛЮЛИН - АВТОСТАНЦИЯ ОВЧА КУПЕЛ - ВЗ. ЛЮЛИН,,3,,BE1E2D,FFFFFF,,,
TM23,A,8,БУЛ. К. ВЕЛИЧКОВ - Ж.К. ЗАПАДЕН ПАРК - БУЛ. К. ВЕЛИЧКОВ,,0,,F7941D,FFFFFF,,,
A105,A,59,АВТОСТАНЦИЯ КНЯЖЕВО - С. МЪРЧАЕВО-ТОЛУМСКА МАХАЛА - АВТОСТАНЦИЯ КНЯЖЕВО,,3,,BE1E2D,FFFFFF,,,
TB37,A,3TM,БУЛ. КН. МАРИЯ ЛУИЗА - ПЛ. ВЪЗРАЖДАНЕ - БУЛ. КН. МАРИЯ ЛУИЗА,,11,,27AAE1,FFFFFF,,,
A225,A,N2,ПЛ. КНЯЗ АЛЕКСАНДЪР І - КВ. ОБЕЛЯ - ПЛ. КНЯЗ АЛЕКСАНДЪР І,,3,,000000,FFFFFF,,,
A259,A,X43,ПЛ. СВ. АЛЕКСАНДЪР НЕВСКИ - АВТОСТАНЦИЯ БАНКЯ - ПЛ. СВ. АЛЕКСАНДЪР НЕВСКИ,,3,,006838,FFFFFF,,,
A106,A,68,МЕТРОСТАНЦИЯ ВИТОША - КВ. СИМЕОНОВО - МЕТРОСТАНЦИЯ ВИТОША,,3,,BE1E2D,FFFFFF,,,
A246,A,109,МЕТРОСТАНЦИЯ АКАД. А. Т.- БАЛАН - Ж.К. ЛОЗЕНЕЦ - МЕТРОСТАНЦИЯ АКАД. А. Т.- БАЛАН,,3,,BE1E2D,FFFFFF,,,
A171,A,59A,Бул. Никола Петков - МЕТРОСТАНЦИЯ МИЗИЯ - Бул. Никола Петков,,3,,BE1E2D,FFFFFF,,,
A28,A,98,КМЕТСТВО ЖЕЛЕЗНИЦА - МЕТРОСТАНЦИЯ ВИТОША - КМЕТСТВО ЖЕЛЕЗНИЦА,,3,,BE1E2D,FFFFFF,,,
A120,A,108A,БУЛ. ЛОМСКО ШОСЕ - Ж.К. ЛЮЛИН -5 - БУЛ. ЛОМСКО ШОСЕ,,3,,BE1E2D,FFFFFF,,,
TB34,A,20T,АВТОСТАНЦИЯ ГЕО МИЛЕВ - ТЕАТЪР СОФИЯ - АВТОСТАНЦИЯ ГЕО МИЛЕВ,,11,,27AAE1,FFFFFF,,,
A35,A,118,Село Желява - Автостанция Изток - Село Желява,,3,,BE1E2D,FFFFFF,,,
A241,A,M3,Ж.К. ОВЧА КУПЕЛ-2 - МЕТРОСТАНЦИЯ ХАДЖИ ДИМИТЪР - Ж.К. ОВЧА КУПЕЛ-2,,3,,BE1E2D,FFFFFF,,,
A261,A,200,ПЛ. СВ. АЛ. НЕВСКИ - ПЛ.СВ. АЛЕКСАНДЪР НЕВСКИ - ПЛ. СВ. АЛ. НЕВСКИ,,3,,BE1E2D,FFFFFF,,,
TB32,A,3,Ж.К. ИЗТОК - Ж.К. ЛЕВСКИ Г - Ж.К. ИЗТОК,,11,,27AAE1,FFFFFF,,,
A147,A,6TM,ГАРА СОФИЯ СЕВЕР - КВ. ОБЕЛЯ - ГАРА СОФИЯ СЕВЕР,,3,,BE1E2D,FFFFFF,,,
A6,A,64,ЗООПАРКА - ЦЕНТЪР ПО ХИГИЕНА - ЗООПАРКА,,3,,BE1E2D,FFFFFF,,,
TB26,A,184,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 1 - УЛ. ГЕН. ГУРКО - ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 1,,11,,27AAE1,FFFFFF,,,
A174,A,42A,АВТОСТАНЦИЯ БАНКЯ - КРАЯ НА КВ. МИХАЙЛОВО - АВТОСТАНЦИЯ БАНКЯ,,3,,BE1E2D,FFFFFF,,,
A3,A,111,"Ж.К. ЛЮЛИН 1,2 - Бул. Никола Петков - Ж.К. ЛЮЛИН 1,2",,3,,BE1E2D,FFFFFF,,,
A22,A,56,МЕТРОСТАНЦИЯ ВАРДАР - СЕЛО МАЛО БУЧИНО - МЕТРОСТАНЦИЯ ВАРДАР,,3,,BE1E2D,FFFFFF,,,
A131,A,11TM,КВ. ПАВЛОВО - Ж.К. ЗАПАДЕН ПАРК - КВ. ПАВЛОВО,,3,,BE1E2D,FFFFFF,,,
TM37,A,3A,Метростанция К. Величков - Гара Захарна фабрика - Метростанция К. Величков,,0,,F7941D,FFFFFF,,,
M1,A,M1,Бизнес парк - Витоша - Бизнес парк,,1,,EB2227,FFFFFF,,,
A79,A,70,СЕЛО ПЛАНА - НСБАЛ ПО ОНКОЛОГИЯ - СЕЛО ПЛАНА,,3,,BE1E2D,FFFFFF,,,
TM33,A,12,ПЕТА ГРАДСКА БОЛНИЦА - ПЛ. ЖУРНАЛИСТ - ПЕТА ГРАДСКА БОЛНИЦА,,0,,F7941D,FFFFFF,,,
A226,A,N3,Ж.К. ОВЧА КУПЕЛ-2 - Ж.К. ЛЕВСКИ Г - Ж.К. ОВЧА КУПЕЛ-2,,3,,000000,FFFFFF,,,
TM22,A,22,АВТОСТАНЦИЯ ИЗТОК - Младежки театър - АВТОСТАНЦИЯ ИЗТОК,,0,,F7941D,FFFFFF,,,
TM29,A,11,Гара София север - Кв. Овча Купел - Гара София север,,0,,F7941D,FFFFFF,,,
A240,A,6ТМ,КВ. ОБЕЛЯ - ЦЕНТРАЛНА ГАРА - КВ. ОБЕЛЯ,,3,,BE1E2D,FFFFFF,,,
TB7,A,7,Ж.к. Гоце Делчев - Ж.К. ЛЮЛИН-3 - Ж.к. Гоце Делчев,,11,,27AAE1,FFFFFF,,,
TM57,A,92,ПЛ. ВЪЗРАЖДАНЕ - ПЛ. ЖУРНАЛИСТ - ПЛ. ВЪЗРАЖДАНЕ,,0,,F7941D,FFFFFF,,,
A172,A,20TM,МЕТРОСТАНЦИЯ ОПЪЛЧЕНСКА - ПЛ. ВАСИЛ ЛЕВСКИ - МЕТРОСТАНЦИЯ ОПЪЛЧЕНСКА,,3,,BE1E2D,FFFFFF,,,
A54,A,82,ж.к. Люлин -5 - ПЛОЩАД ЦЕНТРАЛНА ГАРА - ж.к. Люлин -5,,3,,BE1E2D,FFFFFF,,,
TB43,A,288,АВТОСТАНЦИЯ ГЕО МИЛЕВ - Метростанция Витоша - АВТОСТАНЦИЯ ГЕО МИЛЕВ,,11,,27AAE1,FFFFFF,,,
A9,A,83,Зоопарка - Хюндай България - Зоопарка,,3,,BE1E2D,FFFFFF,,,
TM27,A,1,ЦЕНТРАЛНА АВТОГАРА - Ул. Пиротска - ЦЕНТРАЛНА АВТОГАРА,,0,,F7941D,FFFFFF,,,
A66,A,1,КОКАЛЯНСКО ХАНЧЕ - АВТОСТАНЦИЯ ГЕО МИЛЕВ - КОКАЛЯНСКО ХАНЧЕ,,3,,BE1E2D,FFFFFF,,,
TM50,A,23,УЛ. ОБИКОЛНА - Ж.К. ГЕО МИЛЕВ - УЛ. ОБИКОЛНА,,0,,F7941D,FFFFFF,,,
TM47,A,22A,Младежки театър - Ж.К. КРАСНА ПОЛЯНА - Младежки театър,,0,,F7941D,FFFFFF,,,
A32,A,100,БАЛКАН СТАР - ПЪТНОСТРОИТЕЛНА ТЕХНИКА - БАЛКАН СТАР,,3,,BE1E2D,FFFFFF,,,
TM35,A,7А,КВ. МАНАСТИРСКИ ЛИВАДИ - ЗАПАД - КВ. МАНАСТИРСКИ ЛИВАДИ,,0,,F7941D,FFFFFF,,,
A84,A,204,Ж.К. ГОЦЕ ДЕЛЧЕВ - Ж.К. ДРУЖБА-2 - Ж.К. ГОЦЕ ДЕЛЧЕВ,,3,,BE1E2D,FFFFFF,,,
A13,A,31,Ж.К. ОБЕЛЯ 1 - Село Голяновци - Ж.К. ОБЕЛЯ 1,,3,,BE1E2D,FFFFFF,,,
A1,A,72,ГАРА ПОДУЯНЕ - Ж.К. ЗАПАДЕН ПАРК - ГАРА ПОДУЯНЕ,,3,,BE1E2D,FFFFFF,,,
TB8,A,9,ПЛ. СТОЧНА ГАРА - Ж.К.БОРОВО - ПЛ. СТОЧНА ГАРА,,11,,27AAE1,FFFFFF,,,
TB6,A,6,ПК СПАРТАК - Ж.К. ЛЮЛИН-3 - ПК СПАРТАК,,11,,27AAE1,FFFFFF,,,
A60,A,310,Ж.К. ЛЮЛИН-5 - ПЛ. СТОЧНА ГАРА - Ж.К. ЛЮЛИН-5,,3,,BE1E2D,FFFFFF,,,
A263,A,X1,Ж.К. ГОЦЕ ДЕЛЧЕВ - Ж.К. ДРУЖБА-2 - Ж.К. ГОЦЕ ДЕЛЧЕВ,,3,,BE1E2D,FFFFFF,,,
TB44,A,6TM,Пл. Македония - Ж.К.ИВАН ВАЗОВ - Пл. Македония,,11,,27AAE1,FFFFFF,,,
A4,A,11,УЛ. ДОБРОТИЧ - АВТОСТАНЦИЯ ГЕО МИЛЕВ - УЛ. ДОБРОТИЧ,,3,,BE1E2D,FFFFFF,,,
TM34,A,18,ПЛ. МАКЕДОНИЯ - ПЛ. ЖУРНАЛИСТ - ПЛ. МАКЕДОНИЯ,,0,,F7941D,FFFFFF,,,
A257,A,49A,МАНАСТИР СВ. ПЕТКА ПАРАСКЕВА - АВТОСТАНЦИЯ БАНКЯ - МАНАСТИР СВ. ПЕТКА ПАРАСКЕВА,,3,,BE1E2D,FFFFFF,,,
A208,A,11Tm,КВ. ПАВЛОВО - Ж.К. ЗАПАДЕН ПАРК - КВ. ПАВЛОВО,,3,,BE1E2D,FFFFFF,,,
TM24,A,10,Метростанция К. Величков - ПЛ. ЖУРНАЛИСТ - Метростанция К. Величков,,0,,F7941D,FFFFFF,,,
A91,A,604,УМБАЛСМ ПИРОГОВ - ГАРА ИСКЪР - УМБАЛСМ ПИРОГОВ,,3,,BE1E2D,FFFFFF,,,
TM49,A,6A,Ж.К. ОБЕЛЯ-2 - ТРИЪГЪЛНИКА - Ж.К. ОБЕЛЯ-2,,0,,F7941D,FFFFFF,,,
M2,A,M2,Бизнес парк - Витоша - Бизнес парк,,1,,1C75BC,FFFFFF,,,
A243,A,Y2,Ж.К. ЛЮЛИН-5 - 18 СУ УИЛЯМ ГЛАДСТОН - Ж.К. ЛЮЛИН-5,,3,,BE1E2D,FFFFFF,,,
A262,A,46,АВТОСТАНЦИЯ БАНКЯ - МАНАСТИР СВ. ПЕТКА ПАРАСКЕВА - АВТОСТАНЦИЯ БАНКЯ,,3,,BE1E2D,FFFFFF,,,
M3,A,M3,Хаджи Димитър - Горна баня - Хаджи Димитър,,1,,39B54A,FFFFFF,,,
TM30,A,7,МЕТРОСТАНЦИЯ ХАН КУБРАТ - Площад Възраждане - МЕТРОСТАНЦИЯ ХАН КУБРАТ,,0,,F7941D,FFFFFF,,,
A215,A,110,Ж.К. МЛАДОСТ-1 - Ж.К. БЪКСТОН - Ж.К. МЛАДОСТ-1,,3,,BE1E2D,FFFFFF,,,
A40,A,20,ПЛ. ЛЪВОВ МОСТ - СЕЛО ЛОКОРСКО - ПЛ. ЛЪВОВ МОСТ,,3,,BE1E2D,FFFFFF,,,
TM51,A,4,Кв. Орландовци - ПЛ. МАКЕДОНИЯ - Кв. Орландовци,,0,,F7941D,FFFFFF,,,
A27,A,81,МЕТРОСТАНЦИЯ СЛИВНИЦА - КВ. ИВАНЯНЕ - МЕТРОСТАНЦИЯ СЛИВНИЦА,,3,,BE1E2D,FFFFFF,,,
